name	line	PID	field	robust	moswt	type	bmaj	bmin	vis	spw	thresh	velwid	viswid	TP	origMS	origspw	TODO	
																		
GMC225	13CO10	2012.1.00603	GMC225	1.5	T	12p7	3.4	2.3	"2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xf9_GMC255_13CO10/image/G225_B3.ms"	"17,41,57,73,97"	0.03	0.2	0.09	"2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xf9_GMC255_13CO10/TP_Xe0/G255_B3_TP.spw17.image.hann.canon"				
GMC225	CS21	2012.1.00603	GMC225	1.5	T	12p7	3.8	2.6	"2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xf9_GMC255_13CO10/image/G225_B3.ms"	"21,45,61,77,101"	0.03	0.2	0.09	"2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xf9_GMC255_13CO10/TP_Xe0/G255_B3_TP.spw21.image.hann.canon"				
GMC225	C18O10	2012.1.00603	GMC225	1.5	T	12p7	3.8	2.6	["2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xf9_GMC255_13CO10/TM_Xfa/uid___A002_X75f169_X8b4_targets_line.ms/","2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xf9_GMC255_13CO10/7M_Xfc/G255_B3_7M.uid___A002_X779b0a_X39b_target.contsub.ms/","2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xf9_GMC255_13CO10/7M_Xfc/G255_B3_7M.uid___A002_X779b0a_X540_target.contsub.ms/","2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xf9_GMC255_13CO10/7M_Xfc/G255_B3_7M.uid___A002_X779b0a_Xb1f_target.contsub.ms/","2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xf9_GMC255_13CO10/7M_Xfc/G255_B3_7M.uid___A002_X988073_X19f0_target.contsub.ms/"]	['19','18','18','18','18']	0.03	0.2	0.09	"2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xf9_GMC255_13CO10/TP_Xe0/G255_B3_TP.spw19.image.hann.canon"				
GMC225	SO3221	2012.1.00603	GMC225	1.5	T	12p7	3.8	2.6	"2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xf9_GMC255_13CO10/image/G225_B3.ms"	"23,47,63,79,103"	0.03	1.5	1.49	"2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xf9_GMC255_13CO10/TP_Xe0/G255_B3_TP.spw23.image.canon"				
GMC225	H40a	2012.1.00603	GMC225	1.5	T	12p7	3.8	2.6	"2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xf9_GMC255_13CO10/image/G225_B3.ms"	"23,47,63,79,103"	0.03	1.5	1.49	"2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xf9_GMC255_13CO10/TP_Xe0/G255_B3_TP.spw23.image.canon"				
GMC225	cont3mm	2012.1.00603	GMC225	1.5	T	12p7	3.8	2.6	["2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xf9_GMC255_13CO10/TM_Xfa/uid___A002_X75f169_X8b4_targets.ms/","2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xf9_GMC255_13CO10/7M_Xfc/G255_B3_7M.uid___A002_X779b0a_X39b_target.ms/","2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xf9_GMC255_13CO10/7M_Xfc/G255_B3_7M.uid___A002_X779b0a_X540_target.ms/","2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xf9_GMC255_13CO10/7M_Xfc/G255_B3_7M.uid___A002_X779b0a_Xb1f_target.ms/","2012.1.00603.kawamura/B3_uid___A002_X6f9b0f_Xf9_GMC255_13CO10/7M_Xfc/G255_B3_7M.uid___A002_X988073_X19f0_target.ms/"]	["23:98GHz~98.8GHz;99.3GHz~100GHz","22:98GHz~98.8GHz;99.3GHz~100GHz","22:98GHz~98.8GHz;99.3GHz~100GHz","22:98GHz~98.8GHz;99.3GHz~100GHz","22:98GHz~98.8GHz;99.3GHz~100GHz"]	0.001	0.2	0.09	x				
GMC225	12CO10	2012.1.00641	cloud_225	1.5	T	12p7	2.1	1.8	"2012.1.00641.sawada/B3_uid___A002_X6b0cc1_Xe1_GMC225_12CO10/image/G225_12CO10.ms"	"16,32,48,73"	0.05	0.4	0.32	"2012.1.00641.sawada/B3_uid___A002_X6b0cc1_Xe1_GMC225_12CO10/TP_Xe4/uid___A001_X147_Xe4.cloud_225_sci.spw17.cube.I.sd.canon"				
GMC225	12CO21	2016.1.00203	LMC_GMC225	1.5	T	12p7	1.3	0.98	['lmc/GMC225/uid___A002_Xb93c37_X35f5_targets_line.ms','lmc/GMC225/uid___A002_Xbf4033_X27d_targets_line.ms']	["16","25"]	0.1	0.2	0.08	"2016.1.00203.kawamura/B6_uid___A001_X87c_X8a9_G225_CO21/TP_X8b1/member.uid___A001_X87c_X8b1.LMC_GMC225.spw17.I.sd.im.hann.canon"				
GMC225	13CO21	2016.1.00203	LMC_GMC225	1.5	T	12p7	1.3	1	['lmc/GMC225/uid___A002_Xb93c37_X35f5_targets_line.ms','lmc/GMC225/uid___A002_Xbf4033_X27d_targets_line.ms']	["22","31"]	0.02	0.2	0.16	"2016.1.00203.kawamura/B6_uid___A001_X87c_X8a9_G225_CO21/TP_X8b1/member.uid___A001_X87c_X8b1.LMC_GMC225.spw23.I.sd.im.hann.canon"			add 2016 data for sensitivity?	
